Name,Birth Place,Birth Date,Death Place,Death Date,Field
Jawaharlal_Nehru,Allahabad,1889-11-14,New_Delhi,1964-05-27,Politics
Jyoti_Basu,Kolkata,1914-7-8,Kolkata,2010-01-17,Politics
Rabindranath_Tagore,Kolkata,1861-05-07,Kolkata,1941-08-07,Literature
Jagadish_Chandra_Bose,Bikrampur,1858-11-30,Giridih,1937-11-23,Science
Shibdas_Bhaduri,Barisal,1887-11-6,Puri,1932-2-26,Sports
Pritilata_Waddedar,Chittagong,1911-5-5,Chittagong,1932-9-23,Politics
Jyotirmoyee_Sikdar,Nadia_district,1969-12-11,NA,NA,Sports
Chittaprosad_Bhattacharya,Naihati,1915-6-21,NA,1978-11-13,Art
Ritwik_Ghatak,Dhaka,1925-11-4,Kolkata,1976-02-06,Cinema
Suchitra_Sen,Pabna,1931-4-6,Kolkata,2014-01-17,Cinema
